企业名称,主页链接,年限,地址,交易数,主营业务
沧县凌飞电器设备有限公司,https://shop12l173s264520.1688.com/page/contactinfo.htm,1年,河北沧州,"近90天成交笔数
8
回头率
0%
综合服务分
3.5",冬季电器
沧州科沃斯电器设备有限公司,https://kewosidianqi.1688.com/page/contactinfo.htm,4年,河北沧州,"近90天成交笔数
4
回头率
0%
综合服务分
4.5",电热板 | 其他取暖电器
沧州众诚采暖设备有限公司,https://czzhongcheng.1688.com/page/contactinfo.htm,5年,河北沧州,"近90天成交笔数
13
回头率
0%
综合服务分
3",其他取暖电器 | 家用采暖炉
东莞市科荣环境电器制造有限公司,https://shop37k6425865i85.1688.com/page/contactinfo.htm,2年,广东东莞,"近90天成交笔数
3
回头率
0%
综合服务分
3",冬季电器 | 电热膜 | 电热板
沧州鑫丰采暖电器有限公司,https://shop535888g85i5i0.1688.com/page/contactinfo.htm,4年,河北沧州,"近90天成交笔数
1
回头率
0%
综合服务分
3",其他取暖电器 | 电热锅炉
山东贾克斯电器有限公司,https://sdjksdq.1688.com/page/contactinfo.htm,2年,山东淄博,"近90天成交笔数
5
回头率
0%
综合服务分
3",冬季电器
慈溪市韩雀电器有限公司,https://18058564676.1688.com/page/contactinfo.htm,7年,浙江宁波,"近90天成交笔数
14215
回头率
18%
厂房面积
3800m²
员工人数
11-50人",冬季电器 | 电风扇 | 空调扇
山东国磊环保科技有限公司,https://guoleihb.1688.com/page/contactinfo.htm,2年,山东泰安,"近90天成交笔数
8
回头率
17%
综合服务分
3",其他取暖电器 | 暖脚器
中山市益佳电器有限公司,https://shop3000212i60441.1688.com/page/contactinfo.htm,4年,广东中山,"近90天成交笔数
13
回头率
33%
厂房面积
13530m²
员工人数
101-500人",冬季电器 | 其他夏季电器
慈溪市威玛电子科技有限公司,https://shop1400473419989.1688.com/page/contactinfo.htm,8年,浙江宁波,"近90天成交笔数
2
回头率
0%
综合服务分
3",冬季电器 | 蒸汽拖把
河北华裕能翔电器科技有限公司,https://zqgfsb.1688.com/page/contactinfo.htm,5年,河北沧州,"近90天成交笔数
23
回头率
21%
综合服务分
4",其他取暖电器 | 冬季电器
天津市天辰海润散热器有限责任公司,https://shop1445360131714.1688.com/page/contactinfo.htm,6年,天津天津,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 家用电器加工
江苏智先生电器有限公司,https://byecold.1688.com/page/contactinfo.htm,4年,江苏徐州,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 浴室镜 | 电热板
沧州暖之源环保采暖设备有限公司,https://shop449u385z39449.1688.com/page/contactinfo.htm,4年,河北沧州,"近90天成交笔数
13
回头率
100%
综合服务分
3",冬季电器 | 家用采暖炉
河北广超电子科技有限公司,https://lianbei.1688.com/page/contactinfo.htm,2年,河北石家庄,"近90天成交笔数
2
回头率
0%
综合服务分
3",其他取暖电器 | 冬季电器
宁波卡帝亚电器有限公司,https://nbkadeer.1688.com/page/contactinfo.htm,7年,浙江宁波,"近90天成交笔数
8766
回头率
35%
厂房面积
40880m²
员工人数
101-500人",空调扇 | 冬季电器 | 电风扇
佛山市顺德区九星电器科技有限公司,https://josintech.1688.com/page/contactinfo.htm,8年,广东佛山,"近90天成交笔数
6
回头率
0%
综合服务分
3",电风扇 | 冬季电器 | 夏季电器
宁波有铭电器有限公司,https://shop3xr6270039375.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",空气净化器 | 冬季电器 | 电风扇
浙江芝博科技有限公司,https://zoboheater.1688.com/page/contactinfo.htm,7年,浙江金华,"近90天成交笔数
32
回头率
16%
综合服务分
3",冬季电器 | 热风炉 | 燃烧器
衡水康博采暖设备有限公司,https://shop014mq482626s5.1688.com/page/contactinfo.htm,2年,河北衡水,"近90天成交笔数
1
回头率
0%
综合服务分
3",-
枣强县暖尔美散热器厂,https://shop7uu7x64415239.1688.com/page/contactinfo.htm,2年,河北衡水,"近90天成交笔数
7
回头率
0%
综合服务分
3",-
义乌市轩林电器有限公司,https://shop6mj3225178n10.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
379
回头率
33%
综合服务分
4",电火锅 | 冬季电器 | 电烧烤炉
佛山市顺德区安宝力电器有限公司,https://anbree.1688.com/page/contactinfo.htm,11年,广东佛山,"近90天成交笔数
193
回头率
16%
厂房面积
700m²
员工人数
11-50人",电热水袋 | 夏季电器
麦克西姆(威海)新能源科技有限公司,https://maikeximu.1688.com/page/contactinfo.htm,1年,山东威海,"近90天成交笔数
0
回头率
0%
综合服务分
3",家具五金 | 脚轮
慈溪市百林电器厂（普通合伙）,https://ao2007.1688.com/page/contactinfo.htm,7年,浙江宁波,"近90天成交笔数
619
回头率
24%
综合服务分
4.5",电热水龙头 | 冬季电器 | 垃圾桶
山西丹帝散热器制造有限公司,https://sxxdsrq.1688.com/page/contactinfo.htm,13年,山西太原,"近90天成交笔数
18
回头率
13%
综合服务分
4",-
宁波卓华电器有限公司,https://jingchuang.1688.com/page/contactinfo.htm,7年,浙江宁波,"近90天成交笔数
416
回头率
42%
综合服务分
5",冬季电器 | 品质生活 | 干衣机
沧州羿隆电器有限公司,https://shop19680y5h8h980.1688.com/page/contactinfo.htm,4年,河北沧州,"近90天成交笔数
3
回头率
0%
综合服务分
3",家用采暖炉 | 其他取暖电器
慈溪市云泽电器厂,https://welven.1688.com/page/contactinfo.htm,12年,浙江宁波,"近90天成交笔数
5206
回头率
20%
综合服务分
5",电风扇 | 冬季电器
深圳市宝安区熙润工艺制品厂,https://xirungongyi.1688.com/page/contactinfo.htm,2年,广东深圳,"近90天成交笔数
171
回头率
31%
综合服务分
4",加湿器 | 冬季电器 | 夏季电器
慈溪欣轮电器有限公司,https://shop5350928255y65.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
41
回头率
26%
综合服务分
4.5",冬季电器 | 空调扇 | 迷你电风扇
慈溪市喜红电器有限公司,https://shop560229il00799.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
2435
回头率
13%
综合服务分
4.5",电风扇 | 冬季电器
东莞市美漾环保科技有限公司,https://shop0957j3j909m72.1688.com/page/contactinfo.htm,2年,广东东莞,"近90天成交笔数
43
回头率
28%
综合服务分
3",冬季电器 | 空气净化器
沧州时代奥暖电器有限公司,https://shop387168886e021.1688.com/page/contactinfo.htm,1年,河北沧州,"近90天成交笔数
9
回头率
13%
综合服务分
3",节电设备 | 冬季电器
沧州暖圣泰电器有限公司,https://cznstdq.1688.com/page/contactinfo.htm,5年,河北沧州,"近90天成交笔数
1
回头率
0%
综合服务分
3",其他取暖电器 | 家用采暖炉
佛山市菲斯格瑞电器科技有限公司,https://physgreen.1688.com/page/contactinfo.htm,2年,广东佛山,"近90天成交笔数
1
回头率
0%
综合服务分
3",冬季电器 | 其他取暖电器
桓台县起凤镇金城散热器厂,https://htjincheng.1688.com/page/contactinfo.htm,12年,山东淄博,"近90天成交笔数
7
回头率
0%
厂房面积
1000m²
员工人数
11-50人",-
沧州富东商贸有限公司,https://czfdsm.1688.com/page/contactinfo.htm,1年,河北沧州,"近90天成交笔数
3
回头率
0%
综合服务分
3",其他取暖电器 | 冬季电器
东莞市百斯科实业有限公司,https://shop37i6515u55947.1688.com/page/contactinfo.htm,1年,广东东莞,"近90天成交笔数
221
回头率
22%
厂房面积
7072m²
员工人数
101-500人",移动电源 | 迷你电风扇
深圳市汇奇美科技有限公司,https://huiqimei666.1688.com/page/contactinfo.htm,6年,广东深圳,"近90天成交笔数
327
回头率
25%
厂房面积
2300m²
员工人数
51-100人",迷你电风扇 | 加湿器 | 冬季电器
任丘市同兴电子有限公司,https://shop1467391334324.1688.com/page/contactinfo.htm,5年,河北沧州,"近90天成交笔数
9
回头率
13%
综合服务分
3",水暖毯 | 抱枕被
慈溪市天池净水设备有限公司,https://shop852a9y0828q03.1688.com/page/contactinfo.htm,5年,浙江宁波,"近90天成交笔数
653
回头率
13%
综合服务分
5",冬季电器 | 空调扇 | 电风扇
冀州区飞捷暖气片厂,https://shop32scz90121945.1688.com/page/contactinfo.htm,3年,河北衡水,"近90天成交笔数
24
回头率
14%
厂房面积
600m²
员工人数
10人以下",-
河北跃春暖气片有限公司,https://smssnqp.1688.com/page/contactinfo.htm,2年,河北衡水,"近90天成交笔数
12
回头率
50%
综合服务分
3",-
佛山市甘之怡电器有限公司,https://shop1433782742223.1688.com/page/contactinfo.htm,7年,广东佛山,"近90天成交笔数
104
回头率
33%
厂房面积
1300m²
员工人数
10人以下",空调 | 冬季电器 | 配件
揭阳市三问家居用品有限公司,https://shop36382t7388968.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
629
回头率
17%
综合服务分
4",冬季电器 | 夏季电器
山东普朗克电器有限公司,https://pulangk.1688.com/page/contactinfo.htm,11年,山东菏泽,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器
中山市世耀智能科技有限公司,https://shop933v950258450.1688.com/page/contactinfo.htm,1年,广东中山,"近90天成交笔数
2
回头率
100%
综合服务分
3",电风扇 | 冬季电器 | 植物生长灯
永康市烨华工贸有限公司,https://ykyhgm.1688.com/page/contactinfo.htm,6年,浙江金华,"近90天成交笔数
8547
回头率
32%
综合服务分
4.5",冬季电器 | 电风扇 | 空调扇
宁波吉毅电器有限公司,https://nbjydqyxgs.1688.com/page/contactinfo.htm,9年,浙江宁波,"近90天成交笔数
28
回头率
11%
综合服务分
3",冬季电器 | 其他取暖电器
东莞市汇尔嘉科技有限公司,https://shop7871t62u85352.1688.com/page/contactinfo.htm,1年,广东东莞,"近90天成交笔数
11
回头率
0%
综合服务分
4.5",厨房净水 | 冬季电器 | 空调扇
潍坊市明辉暖通设备有限公司,https://dongfeiersanreqi.1688.com/page/contactinfo.htm,2年,山东潍坊,"近90天成交笔数
9
回头率
0%
综合服务分
3",调节阀
慈溪市九都电器厂,https://shop6g0367687q4g5.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
4085
回头率
20%
综合服务分
4.5",冬季电器 | 电风扇 | USB风扇
揭阳空港经济区京冈兴胜电器厂,https://jyxsrs.1688.com/page/contactinfo.htm,3年,广东揭阳,"近90天成交笔数
911
回头率
28%
厂房面积
1100m²
员工人数
11-50人",电吹风 | 夏季电器 | 冬季电器
佛山市土拨鼠智能科技有限公司,https://aimros.1688.com/page/contactinfo.htm,2年,广东佛山,"近90天成交笔数
22
回头率
0%
综合服务分
3",冬季电器
沧州家馨暖力电器设备有限公司,https://jiaxinnuanli.1688.com/page/contactinfo.htm,2年,河北沧州,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 电热锅炉 | 封头
宁波彩熊科技有限公司,https://shop4891160z26482.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器 | 夏季电器
慈溪市艾屹电器商行,https://shop7s6170y239856.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
2
回头率
100%
综合服务分
3",冬季电器 | 空调扇 | 无叶扇
揭阳空港经济区美欧格电器厂,https://shop119446b639185.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
7706
回头率
16%
综合服务分
4.5",夏季电器 | 迷你电风扇
浙江享乐贸易有限公司,https://shop7955158y59037.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
620
回头率
13%
综合服务分
4.5",冬季电器 | 电风扇 | 家用电炸锅
冀州区诺德采暖设备厂,https://jzaosidun.1688.com/page/contactinfo.htm,7年,河北衡水,"近90天成交笔数
15
回头率
0%
综合服务分
3",冬季电器
山东中仁智能装备有限公司,https://shop5134268x74795.1688.com/page/contactinfo.htm,2年,山东潍坊,"近90天成交笔数
214
回头率
25%
综合服务分
4.5",热风炉 | 农业用具
山东中仁智能装备有限公司,https://shop5134268x74795.1688.com/page/contactinfo.htm,2年,山东潍坊,"近90天成交笔数
214
回头率
25%
综合服务分
4.5",热风炉 | 农业用具
佛山市南海森湖光电科技有限公司,https://shop979972q085320.1688.com/page/contactinfo.htm,8年,广东佛山,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器
山东未蓝环保设备有限公司,https://shop3j0154246j081.1688.com/page/contactinfo.htm,2年,山东聊城,"近90天成交笔数
0
回头率
0%
综合服务分
3",家用采暖炉 | 其他取暖电器
慈溪市莫格电器科技有限公司,https://shop246p5604p5067.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
171
回头率
34%
厂房面积
10667m²
员工人数
11-50人",冬季电器 | 家居清洁
昌邑市围子镇三合铸造厂,https://cyshzz88.1688.com/page/contactinfo.htm,11年,山东潍坊,"近90天成交笔数
17
回头率
83%
综合服务分
3",井盖 | 盖板及沟盖
深圳市鑫启丰科技有限公司,https://shop51t55o36233i7.1688.com/page/contactinfo.htm,1年,广东深圳,"近90天成交笔数
30
回头率
17%
综合服务分
4",家用扫地机 | 迷你电风扇
宁波市洛珂斯电器有限公司,https://shop2918b367740z7.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
338
回头率
13%
综合服务分
4.5",冬季电器 | 空调扇 | 电风扇
沧州美嘉电器有限公司,https://czmjdq.1688.com/page/contactinfo.htm,7年,河北沧州,"近90天成交笔数
24
回头率
67%
综合服务分
4.5",电热锅炉 | 家用采暖炉
广州白云区德诚电器厂,https://shop16007126z20q2.1688.com/page/contactinfo.htm,3年,广东广州,"近90天成交笔数
688
回头率
19%
厂房面积
280m²
员工人数
11-50人",夏季电器 | 冬季电器
沧州兴晟采暖设备有限公司,https://shop1418230043558.1688.com/page/contactinfo.htm,7年,河北沧州,"近90天成交笔数
6
回头率
50%
综合服务分
3",其他取暖电器 | 家用采暖炉
山东未蓝环保设备有限公司,https://shop3j0154246j081.1688.com/page/contactinfo.htm,2年,山东聊城,"近90天成交笔数
0
回头率
0%
综合服务分
3",家用采暖炉 | 其他取暖电器
慈溪市附海小飞鹅电器厂,https://xiaofeie.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
59
回头率
5%
综合服务分
4",挂烫机 | 冬季电器 | 家用电炸锅
淮安市朤晨六月家居工艺品有限公司,https://shop051531m995828.1688.com/page/contactinfo.htm,2年,江苏淮安,"近90天成交笔数
357
回头率
31%
厂房面积
320m²
员工人数
11-50人",发热垫 | 鼠标垫 | 其他居家日用
慈溪市小华电器厂,https://shop8625243t8z015.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
1713
回头率
16%
厂房面积
600m²
员工人数
10人以下",足浴电器 | 冬季电器 | 电风扇
揭阳空港区鸿亿电器厂,https://shop155h0656d3589.1688.com/page/contactinfo.htm,3年,广东揭阳,"近90天成交笔数
4328
回头率
18%
厂房面积
1191m²
员工人数
11-50人",电吹风 | 夏季电器 | 冬季电器
广东赛阳控股集团有限公司,https://qdykdcn.1688.com/page/contactinfo.htm,7年,广东中山,"近90天成交笔数
1
回头率
0%
综合服务分
3",冬季电器 | 其他取暖电器
宁波澳德斯电器有限公司,https://nbaods.1688.com/page/contactinfo.htm,5年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",电热板 | 其他取暖电器 | 电热片
佛山市展帆电器科技有限公司,https://shop73859vyy13067.1688.com/page/contactinfo.htm,4年,广东佛山,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器 | 其他取暖电器
慈溪市德胜电器厂,https://desdq.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
816
回头率
8%
综合服务分
4.5",挂烫机 | 冬季电器 | 品质生活
温州宝捷电器有限公司,https://bjdianqi.1688.com/page/contactinfo.htm,6年,浙江温州,"近90天成交笔数
8
回头率
17%
综合服务分
3",热风炉 | 冬季电器
青州瑞安温控设备有限公司,https://ruianwenkong.1688.com/page/contactinfo.htm,5年,山东潍坊,"近90天成交笔数
28
回头率
24%
厂房面积
1012m²
员工人数
10人以下",农业用具 | 热风炉
河北捷弗维供暖设备有限公司,https://shop0656t1470p719.1688.com/page/contactinfo.htm,3年,河北衡水,"近90天成交笔数
11
回头率
43%
综合服务分
3",家用采暖炉
中山市矩牛电器有限公司,https://juniudianqi.1688.com/page/contactinfo.htm,5年,广东中山,"近90天成交笔数
178
回头率
18%
综合服务分
4.5",冬季电器 | 电风扇 | 家用电炸锅
揭阳空港区溪南百潮电器厂,https://shop561120z65w508.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
602
回头率
26%
综合服务分
4.5",夏季电器 | 电吹风 | 冬季电器
成都康宁佳智能家居有限公司,https://shop1480741638576.1688.com/page/contactinfo.htm,4年,四川成都,"近90天成交笔数
5
回头率
0%
综合服务分
3",干衣机 | 冬季电器
揭阳空港经济区恩乐达电器厂,https://eldjieyi.1688.com/page/contactinfo.htm,10年,广东揭阳,"近90天成交笔数
210
回头率
18%
厂房面积
1200m²
员工人数
11-50人",电吹风 | 夏季电器 | 冬季电器
揭阳空港经济区盛发电器厂,https://shop3457896891x87.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
43
回头率
33%
综合服务分
4",夏季电器 | 其他生活电器
小斗（深圳）科技有限公司,https://xiaodou.1688.com/page/contactinfo.htm,3年,广东深圳,"近90天成交笔数
284
回头率
27%
综合服务分
4",冬季电器 | 暖手宝 | 按摩足疗机
泰安市宏力伟业能源设备有限公司,https://tahongliwy.1688.com/page/contactinfo.htm,9年,山东泰安,"近90天成交笔数
49
回头率
19%
综合服务分
3",冬季电器 | 暖脚器
山东巴铁重工机械设备有限公司,https://shop1003k62e71y47.1688.com/page/contactinfo.htm,1年,山东济宁,"近90天成交笔数
9
回头率
100%
综合服务分
3",冬季电器 | 热风炉 | 豆浆机
慈溪市观海卫火歌电器厂,https://huogedianqi.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
67
回头率
22%
综合服务分
4",品质生活 | 冬季电器 | 电风扇
沧县科浦电采暖设备厂,https://cxkpdc.1688.com/page/contactinfo.htm,4年,河北沧州,"近90天成交笔数
4
回头率
0%
综合服务分
4",其他取暖电器 | 电热板
盐城市瑞正机械有限公司,https://ycrzjx688.1688.com/page/contactinfo.htm,2年,江苏盐城,"近90天成交笔数
21
回头率
0%
综合服务分
3",电热器 | 热风炉
深圳市闪光电子科技有限公司,https://sgdz88.1688.com/page/contactinfo.htm,16年,广东深圳,"近90天成交笔数
9
回头率
0%
综合服务分
3",USB风扇 | 冬季电器
深圳市首帅节能科技有限公司,https://shoushuai.1688.com/page/contactinfo.htm,3年,广东深圳,"近90天成交笔数
299
回头率
27%
综合服务分
4",厨房净水 | 空气净化器
揭阳市榕城区金达盛家用电器厂,https://jindashengmaoyi.1688.com/page/contactinfo.htm,2年,广东揭阳,"近90天成交笔数
4092
回头率
22%
综合服务分
4.5",夏季电器 | 冬季电器 | 电吹风
揭阳空港区凤美永乐达电器厂,https://yongleda.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
38
回头率
39%
综合服务分
4.5",电吹风 | 冬季电器 | 夏季电器
青州市冠捷温控设备厂,https://guanjiewk.1688.com/page/contactinfo.htm,3年,山东潍坊,"近90天成交笔数
7
回头率
0%
综合服务分
3",热风炉 | 农业用具 | 通风机
临朐县旭日干燥设备厂,https://xuriganzao.1688.com/page/contactinfo.htm,6年,山东潍坊,"近90天成交笔数
11
回头率
38%
综合服务分
4.5",箱式干燥设备 | 热风炉 | 换热器
